Province/State,Country,Date,Confirmed,Deaths,Recovered
NA,Afghanistan,1/22/20,0,0,0
NA,Albania,1/22/20,0,0,0
NA,Algeria,1/22/20,0,0,0
NA,Andorra,1/22/20,0,0,0
NA,Angola,1/22/20,0,0,0
NA,Antigua and Barbuda,1/22/20,0,0,0
NA,Argentina,1/22/20,0,0,0
NA,Armenia,1/22/20,0,0,0
Australian Capital Territory,Australia,1/22/20,0,0,0
New South Wales,Australia,1/22/20,0,0,0
Northern Territory,Australia,1/22/20,0,0,0
Queensland,Australia,1/22/20,0,0,0
South Australia,Australia,1/22/20,0,0,0
Tasmania,Australia,1/22/20,0,0,0
Victoria,Australia,1/22/20,0,0,0
Western Australia,Australia,1/22/20,0,0,0
NA,Austria,1/22/20,0,0,0
NA,Azerbaijan,1/22/20,0,0,0
NA,Bahamas,1/22/20,0,0,0
NA,Bahrain,1/22/20,0,0,0
NA,Bangladesh,1/22/20,0,0,0
NA,Barbados,1/22/20,0,0,0
NA,Belarus,1/22/20,0,0,0
NA,Belgium,1/22/20,0,0,0
NA,Benin,1/22/20,0,0,0
NA,Bhutan,1/22/20,0,0,0
NA,Bolivia,1/22/20,0,0,0
NA,Bosnia and Herzegovina,1/22/20,0,0,0
NA,Brazil,1/22/20,0,0,0
NA,Brunei,1/22/20,0,0,0
NA,Bulgaria,1/22/20,0,0,0
NA,Burkina Faso,1/22/20,0,0,0
NA,Cabo Verde,1/22/20,0,0,0
NA,Cambodia,1/22/20,0,0,0
NA,Cameroon,1/22/20,0,0,0
Alberta,Canada,1/22/20,0,0,0
British Columbia,Canada,1/22/20,0,0,0
Grand Princess,Canada,1/22/20,0,0,0
Manitoba,Canada,1/22/20,0,0,0
New Brunswick,Canada,1/22/20,0,0,0
Newfoundland and Labrador,Canada,1/22/20,0,0,0
Nova Scotia,Canada,1/22/20,0,0,0
Ontario,Canada,1/22/20,0,0,0
Prince Edward Island,Canada,1/22/20,0,0,0
Quebec,Canada,1/22/20,0,0,0
Saskatchewan,Canada,1/22/20,0,0,0
NA,Central African Republic,1/22/20,0,0,0
NA,Chad,1/22/20,0,0,0
NA,Chile,1/22/20,0,0,0
Anhui,China,1/22/20,1,0,0
Beijing,China,1/22/20,14,0,0
Chongqing,China,1/22/20,6,0,0
Fujian,China,1/22/20,1,0,0
Gansu,China,1/22/20,0,0,0
Guangdong,China,1/22/20,26,0,0
Guangxi,China,1/22/20,2,0,0
Guizhou,China,1/22/20,1,0,0
Hainan,China,1/22/20,4,0,0
Hebei,China,1/22/20,1,0,0
Heilongjiang,China,1/22/20,0,0,0
Henan,China,1/22/20,5,0,0
Hong Kong,China,1/22/20,0,0,0
Hubei,China,1/22/20,444,17,28
Hunan,China,1/22/20,4,0,0
Inner Mongolia,China,1/22/20,0,0,0
Jiangsu,China,1/22/20,1,0,0
Jiangxi,China,1/22/20,2,0,0
Jilin,China,1/22/20,0,0,0
Liaoning,China,1/22/20,2,0,0
Macau,China,1/22/20,1,0,0
Ningxia,China,1/22/20,1,0,0
Qinghai,China,1/22/20,0,0,0
Shaanxi,China,1/22/20,0,0,0
Shandong,China,1/22/20,2,0,0
Shanghai,China,1/22/20,9,0,0
Shanxi,China,1/22/20,1,0,0
Sichuan,China,1/22/20,5,0,0
Tianjin,China,1/22/20,4,0,0
Tibet,China,1/22/20,0,0,0
Xinjiang,China,1/22/20,0,0,0
Yunnan,China,1/22/20,1,0,0
Zhejiang,China,1/22/20,10,0,0
NA,Colombia,1/22/20,0,0,0
NA,Congo (Brazzaville),1/22/20,0,0,0
NA,Congo (Kinshasa),1/22/20,0,0,0
NA,Costa Rica,1/22/20,0,0,0
NA,Cote d'Ivoire,1/22/20,0,0,0
NA,Croatia,1/22/20,0,0,0
NA,Diamond Princess,1/22/20,0,0,0
NA,Cuba,1/22/20,0,0,0
NA,Cyprus,1/22/20,0,0,0
NA,Czechia,1/22/20,0,0,0
Faroe Islands,Denmark,1/22/20,0,0,0
Greenland,Denmark,1/22/20,0,0,0
NA,Denmark,1/22/20,0,0,0
NA,Djibouti,1/22/20,0,0,0
NA,Dominican Republic,1/22/20,0,0,0
NA,Ecuador,1/22/20,0,0,0
NA,Egypt,1/22/20,0,0,0
NA,El Salvador,1/22/20,0,0,0
NA,Equatorial Guinea,1/22/20,0,0,0
NA,Eritrea,1/22/20,0,0,0
NA,Estonia,1/22/20,0,0,0
NA,Eswatini,1/22/20,0,0,0
NA,Ethiopia,1/22/20,0,0,0
NA,Fiji,1/22/20,0,0,0
NA,Finland,1/22/20,0,0,0
French Guiana,France,1/22/20,0,0,0
French Polynesia,France,1/22/20,0,0,0
Guadeloupe,France,1/22/20,0,0,0
Mayotte,France,1/22/20,0,0,0
New Caledonia,France,1/22/20,0,0,0
Reunion,France,1/22/20,0,0,0
Saint Barthelemy,France,1/22/20,0,0,0
St Martin,France,1/22/20,0,0,0
Martinique,France,1/22/20,0,0,0
NA,France,1/22/20,0,0,0
NA,Gabon,1/22/20,0,0,0
NA,Gambia,1/22/20,0,0,0
NA,Georgia,1/22/20,0,0,0
NA,Germany,1/22/20,0,0,0
NA,Ghana,1/22/20,0,0,0
NA,Greece,1/22/20,0,0,0
NA,Guatemala,1/22/20,0,0,0
NA,Guinea,1/22/20,0,0,0
NA,Guyana,1/22/20,0,0,0
NA,Haiti,1/22/20,0,0,0
NA,Holy See,1/22/20,0,0,0
NA,Honduras,1/22/20,0,0,0
NA,Hungary,1/22/20,0,0,0
NA,Iceland,1/22/20,0,0,0
NA,India,1/22/20,0,0,0
NA,Indonesia,1/22/20,0,0,0
NA,Iran,1/22/20,0,0,0
NA,Iraq,1/22/20,0,0,0
NA,Ireland,1/22/20,0,0,0
NA,Israel,1/22/20,0,0,0
NA,Italy,1/22/20,0,0,0
NA,Jamaica,1/22/20,0,0,0
NA,Japan,1/22/20,2,0,0
NA,Jordan,1/22/20,0,0,0
NA,Kazakhstan,1/22/20,0,0,0
NA,Kenya,1/22/20,0,0,0
NA,South Korea,1/22/20,1,0,0
NA,Kuwait,1/22/20,0,0,0
NA,Kyrgyzstan,1/22/20,0,0,0
NA,Latvia,1/22/20,0,0,0
NA,Lebanon,1/22/20,0,0,0
NA,Liberia,1/22/20,0,0,0
NA,Liechtenstein,1/22/20,0,0,0
NA,Lithuania,1/22/20,0,0,0
NA,Luxembourg,1/22/20,0,0,0
NA,Madagascar,1/22/20,0,0,0
NA,Malaysia,1/22/20,0,0,0
NA,Maldives,1/22/20,0,0,0
NA,Malta,1/22/20,0,0,0
NA,Mauritania,1/22/20,0,0,0
NA,Mauritius,1/22/20,0,0,0
NA,Mexico,1/22/20,0,0,0
NA,Moldova,1/22/20,0,0,0
NA,Monaco,1/22/20,0,0,0
NA,Mongolia,1/22/20,0,0,0
NA,Montenegro,1/22/20,0,0,0
NA,Morocco,1/22/20,0,0,0
NA,Namibia,1/22/20,0,0,0
NA,Nepal,1/22/20,0,0,0
Aruba,Netherlands,1/22/20,0,0,0
Curacao,Netherlands,1/22/20,0,0,0
Sint Maarten,Netherlands,1/22/20,0,0,0
NA,Netherlands,1/22/20,0,0,0
NA,New Zealand,1/22/20,0,0,0
NA,Nicaragua,1/22/20,0,0,0
NA,Niger,1/22/20,0,0,0
NA,Nigeria,1/22/20,0,0,0
NA,North Macedonia,1/22/20,0,0,0
NA,Norway,1/22/20,0,0,0
NA,Oman,1/22/20,0,0,0
NA,Pakistan,1/22/20,0,0,0
NA,Panama,1/22/20,0,0,0
NA,Papua New Guinea,1/22/20,0,0,0
NA,Paraguay,1/22/20,0,0,0
NA,Peru,1/22/20,0,0,0
NA,Philippines,1/22/20,0,0,0
NA,Poland,1/22/20,0,0,0
NA,Portugal,1/22/20,0,0,0
NA,Qatar,1/22/20,0,0,0
NA,Romania,1/22/20,0,0,0
NA,Russia,1/22/20,0,0,0
NA,Rwanda,1/22/20,0,0,0
